"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:04","","","4.696"
"00:10","","","4.768"
"00:14","","","4.681"
"00:20","","","4.604"
"01:28","9.683","",""
"01:30","","1.311",""
"01:34","9.42","1.23",""
"01:38","9.456","",""
"01:40","","1.099",""
"01:42","9.096","",""
"01:44","","1.088",""
